G1 G1GD101 Depth m,G1 G1GD103 Depth m,G1 G1GD105 Depth m,G1 G1GD107 Depth m,G1 G1GD109 Depth m,G1 G1GD111 Depth m,G1 G1GD113 Depth m,G1 G1GD201 Depth m,G1 G1GD203 Depth m,G1 G1GD205 Depth m,G1 G1GD207 Depth m,G1 G1GD209 Depth m,G1 G1GD211 Depth m,G1 G1GD213 Depth m,G2 G2GD301 Depth m,G2 G2GD303 Depth m,G2 G2GD305 Depth m,G2 G2GD307 Depth m,G2 G2GD309 Depth m,G2 G2GD311 Depth m,G2 G2GD313 Depth m,G2 G2GD401 Depth m,G2 G2GD403 Depth m,G2 G2GD405 Depth m,G2 G2GD407 Depth m,G2 G2GD409 Depth m,G2 G2GD411 Depth m,G2 G2GD413 Depth m,G3 G3GD501 Depth m,G3 G3GD503 Depth m,G3 G3GD505 Depth m,G3 G3GD507 Depth m,G3 G3GD509 Depth m,G3 G3GD511 Depth m,G3 G3GD513 Depth m,G3 G3GD601 Depth m,G3 G3GD603 Depth m,G3 G3GD605 Depth m,G3 G3GD607 Depth m,G3 G3GD609 Depth m,G3 G3GD611 Depth m,G3 G3GD613 Depth m,Seq
6.84,7.31,7.34,7.16,7.23,7.1,7.1,7.23,7.34,7.24,7.07,7.21,7.16,6.98,6.99,7.21,7.11,7.03,7.06,7.04,6.88,7.08,7.18,7.17,7.0,7.09,7.18,6.98,7.12,7.16,7.13,7.08,7.18,7.1,6.92,7.12,7.29,7.29,7.05,7.06,7.08,7.03,016
6.92,7.35,7.38,7.2,7.27,7.15,7.15,7.27,7.37,7.27,7.1,7.25,7.18,7.02,7.04,7.27,7.16,7.09,7.12,7.11,6.95,7.15,7.24,7.23,7.08,7.16,7.26,7.07,7.18,7.2,7.18,7.12,7.23,7.16,6.97,7.12,7.31,7.32,7.17,7.09,7.13,7.08,017
6.89,7.31,7.34,7.17,7.22,7.11,7.1,7.23,7.35,7.25,7.07,7.22,7.16,6.98,6.99,7.22,7.12,7.04,7.06,7.05,6.88,7.07,7.18,7.17,7.01,7.09,7.18,6.99,7.11,7.16,7.13,7.08,7.18,7.1,6.92,7.01,7.28,7.31,7.04,7.07,7.09,6.97,018
6.96,7.37,7.39,7.22,7.28,7.16,7.16,7.3,7.39,7.29,7.12,7.26,7.21,7.04,7.09,7.32,7.21,7.14,7.16,7.15,6.98,7.21,7.29,7.28,7.12,7.2,7.31,7.11,7.22,7.22,7.21,7.15,7.25,7.17,6.99,7.16,7.27,7.27,7.08,7.13,7.15,7.01,019
6.93,7.34,7.38,7.2,7.25,7.13,7.11,7.26,7.37,7.27,7.09,7.22,7.17,6.97,7.0,7.23,7.13,7.05,7.08,7.06,6.89,7.08,7.19,7.18,7.03,7.1,7.2,6.98,7.11,7.15,7.14,7.07,7.17,7.08,6.9,7.07,7.22,7.23,7.02,7.06,7.08,6.94,020
6.95,7.33,7.37,7.19,7.24,7.12,7.12,7.26,7.36,7.26,7.08,7.22,7.16,6.99,7.07,7.28,7.17,7.1,7.13,7.12,6.94,7.16,7.25,7.26,7.1,7.17,7.29,7.07,7.18,7.2,7.19,7.12,7.22,7.14,6.96,7.11,7.25,7.26,7.07,7.1,7.12,6.98,021
6.9,7.31,7.34,7.17,7.23,7.11,7.1,7.22,7.29,7.25,7.06,7.2,7.14,7.0,6.98,7.21,7.12,7.04,7.06,7.04,6.88,7.07,7.17,7.18,7.01,7.09,7.2,6.98,7.13,7.16,7.14,7.08,7.18,7.1,6.92,7.05,7.21,7.23,7.02,7.07,7.09,6.96,022
6.96,7.35,7.38,7.22,7.28,7.16,7.16,7.29,7.34,7.29,7.11,7.26,7.19,7.04,7.08,7.3,7.2,7.12,7.17,7.14,6.99,7.17,7.27,7.27,7.1,7.19,7.3,7.09,7.22,7.23,7.2,7.14,7.24,7.16,6.99,7.13,7.27,7.29,7.07,7.12,7.15,7.02,023
6.97,7.32,7.34,7.18,7.24,7.12,7.12,7.23,7.29,7.26,7.07,7.22,7.15,7.01,6.97,7.22,7.11,7.02,7.06,7.05,6.88,7.07,7.19,7.2,7.02,7.1,7.21,6.99,7.13,7.17,7.13,7.09,7.19,7.1,6.92,7.07,7.23,7.25,7.03,7.08,7.1,6.97,024
7.03,7.37,7.39,7.22,7.29,7.17,7.18,7.29,7.34,7.3,7.11,7.26,7.19,7.04,7.09,7.32,7.2,7.14,7.17,7.15,6.99,7.18,7.28,7.3,7.12,7.2,7.31,7.11,7.22,7.24,7.2,7.16,7.25,7.18,7.0,7.14,7.28,7.31,7.09,7.13,7.17,7.03,025
6.94,7.31,7.33,7.17,7.24,7.11,7.1,7.21,7.3,7.26,7.06,7.21,7.15,6.99,6.96,7.19,7.09,7.03,7.05,7.03,6.85,7.04,7.18,7.2,7.01,7.09,7.19,6.96,7.11,7.14,7.11,7.07,7.16,7.08,6.88,7.05,7.22,7.25,7.09,7.1,7.08,6.97,026
7.03,7.37,7.39,7.23,7.3,7.18,7.17,7.29,7.34,7.3,7.11,7.25,7.2,7.05,7.1,7.32,7.21,7.14,7.18,7.15,6.99,7.12,7.3,7.31,7.13,7.21,7.33,7.12,7.23,7.24,7.2,7.16,7.26,7.19,7.0,7.18,7.28,7.32,7.1,7.18,7.17,7.07,027
6.95,7.31,7.32,7.17,7.24,7.12,7.12,7.22,7.29,7.27,7.07,7.2,7.15,7.0,6.97,7.21,7.11,7.05,7.07,7.05,6.88,6.96,7.18,7.19,7.05,7.03,7.02,7.02,7.11,7.15,7.11,7.08,7.18,7.1,6.89,7.09,7.22,7.26,7.02,7.1,7.09,6.98,028
7.01,7.36,7.37,7.22,7.28,7.17,7.18,7.29,7.33,7.3,7.11,7.25,7.19,7.05,7.08,7.31,7.19,7.14,7.18,7.16,7.0,7.21,7.28,7.29,7.16,7.13,7.14,7.16,7.21,7.23,7.19,7.17,7.25,7.18,6.98,7.17,7.29,7.31,7.09,7.17,7.15,7.06,029
6.96,7.31,7.31,7.16,7.24,7.13,7.12,7.22,7.29,7.25,7.07,7.21,7.14,7.0,6.97,7.22,7.11,7.05,7.08,7.06,6.9,7.11,7.17,7.19,7.07,7.02,7.04,7.03,7.12,7.16,7.12,7.1,7.2,7.11,6.9,7.09,7.24,7.27,7.03,7.12,7.1,7.0,030
7.0,7.34,7.35,7.19,7.28,7.16,7.18,7.26,7.32,7.29,7.11,7.25,7.18,7.05,7.07,7.31,7.19,7.13,7.17,7.15,7.0,7.22,7.26,7.28,7.16,7.1,7.13,7.13,7.18,7.21,7.17,7.14,7.24,7.16,6.95,7.15,7.28,7.3,7.07,7.15,7.13,7.05,031
6.99,7.31,7.32,7.16,7.24,7.12,7.13,7.21,7.29,7.26,7.06,7.2,7.13,6.99,6.96,7.22,7.11,7.05,7.07,7.05,6.89,7.12,7.17,7.19,7.07,7.01,7.03,7.02,7.12,7.17,7.13,7.1,7.21,7.12,6.91,7.07,7.24,7.27,7.02,7.1,7.09,7.0,032
